"2026 끝장전 중계진 승자 예측 정리 날짜","선수1","선수2","세트","맵","갯수","중계진","선택","성공/실패","","2026 중계진 미션 성공 지수 순위 순위","이름","전체","승","승률","지수","수익률","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 7","MatchPoint","1000","임성춘 해설","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 8","KnockOut","6050","이승원 해설","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 9","Octagon","2000","임성춘 해설","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 2","Pole Star","700","이승원 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 3","Attitude","500","박상현 캐스터","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 4","Octagon","1000","임성춘 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 5","KnockOut","1000","이승원 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 6","Pole Star","500","박상현 캐스터","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 7","Neo Sylphid","500","임성춘 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 8","Octagon","10000","박상현 캐스터","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","박상현(Z)","SET 9","Attitude","21000","이승원 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 2","Attitude","1000","박상현 캐스터","조일장(Z)","성공","","","Odyssey","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 3","KnockOut","1500","임성춘 해설","유영진(T)","실패","","","Colorless Fate","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 4","Aiolos","2000","이승원 해설","유영진(T)","성공","","","Aiolos","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 5","Odyssey","2000","박상현 캐스터","유영진(T)","성공","","","KnockOut","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 6","Attitude","11500","임성춘 해설","조일장(Z)","성공","","","backrooms","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 7","Odyssey","11000","임성춘 해설","유영진(T)","성공","","","Attitude","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 8","Octagon","12500","임성춘 해설","유영진(T)","성공","","","Octagon","","","","","","","","","","","","","","",""
"","유영진(T)","조일장(Z)","SET 9","KnockOut","1000","이승원 해설","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 2","Octagon","300","이승원 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 3","Aiolos","500","박상현 캐스터","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 4","KnockOut","1600","임성춘 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 6","Aiolos","1000","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 6","Aiolos","300","이승원 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 7","Octagon","1000","임성춘 해설","이영웅(T)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 8","KnockOut","3000","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 9","Backrooms","6050","임성춘 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 1","Colorless Fate","300","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 3","Aiolos","100","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 4","Backrooms","1000","이승원 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 5","KnockOut","500","이승원 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 6","Backrooms","200","박상현 캐스터","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 7","Octagon","900","임성춘 해설","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 8","Colorless Fate","5000","임성춘 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","장윤철(P)","SET 9","Aiolos","12000","이승원 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","김지성(T)","SET 3","Attitude","831","박상현 캐스터","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","김지성(T)","SET 4","Aiolos","1458","임성춘 해설","김지성(T)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","김지성(T)","SET 5","KnockOut","1924","이승원 해설","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","김지성(T)","SET 6","Octagon","1492","박상현 캐스터","김지성(T)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","김지성(T)","SET 7","Attitude","1030","박상현 캐스터","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","김지성(T)","SET 8","Backrooms","1924","이승원 해설","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","김지성(T)","SET 9","KnockOut","924","이승원 해설","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 1","KnockOut","200","박상현 캐스터","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 2","Attitude","1000","임성춘 해설","이제동(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 3","Backrooms","2300","임성춘 해설","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 4","Aiolos","1300","박상현 캐스터","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 5","Octagon","1300","박상현 캐스터","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 6","Attitude","10000","이승원 해설","이제동(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 7","Backrooms","10000","박상현 캐스터","김지성(T)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 8","KnockOut","10000","임성춘 해설","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","이제동(Z)","SET 9","Octagon","20000","임성춘 해설","김지성(T)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 2","Attitude","300","박상현 캐스터","김지성(T)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 3","KnockOut","300","이승원 해설","김택용(P)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 4","Octagon","1000","임성춘 해설","김택용(P)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 5","Backrooms","1000","박상현 캐스터","김택용(P)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 6","Attitude","1000","이승원 해설","김택용(P)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 7","Aiolos","5050","임성춘 해설","김택용(P)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 8","KnockOut","7405","박상현 캐스터","김택용(P)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김택용(P)","SET 9","Octagon","1000","이승원 해설","김택용(P)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김명운(Z)","SET 2","KnockOut","500","임성춘 해설","김명운(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김명운(Z)","SET 3","Attitude","100","임성춘 해설","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김명운(Z)","SET 4","Backrooms","1500","임성춘 해설","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김명운(Z)","SET 7","Attitude","1000","임성춘 해설","김명운(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김명운(Z)","SET 8","KnockOut","6000","이승원 해설","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","김지성(T)","김명운(Z)","SET 9","Backrooms","10000","이승원 해설","김지성(T)","성공","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","변현제(P)","SET 1","Colorless Fate","400","박상현 캐스터","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","변현제(P)","SET 2","Aiolos","800","임성춘 해설","변현제(P)","성공","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","변현제(P)","SET 3","Attitude","1000","이승원 해설","김명운(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","변현제(P)","SET 8","Octagon","2000","임성춘 해설","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","변현제(P)","SET 9","Colorless Fate","10000","이승원 해설","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","이재호(T)","SET 2","Attitude","1000","박상현 캐스터","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","이재호(T)","SET 3","KnockOut","1000","임성춘 해설","김명운(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","이재호(T)","SET 4","Octagon","2000","임성춘 해설","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","이재호(T)","SET 6","Octagon","1224","이승원 해설","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","이재호(T)","SET 7","Attitude","1225","임성춘 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","이재호(T)","SET 8","KnockOut","1660","박상현 캐스터","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"","김명운(Z)","이재호(T)","SET 9","Backrooms","5974","이승원 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
